,latitude,longitude,latlong,city
10301,-38.0419,143.9104,"-38.0, 144.0",Golden Plains Shire
10316,-33.7419,138.6134,"-34.0, 139.0",The Regional Council of Goyder
10325,-21.9235,132.5045,"-22.0, 133.0",Northern Territory
10326,-21.9249,132.4948,"-22.0, 132.0",Northern Territory
10410,-38.5382,146.82299999999998,"-39.0, 147.0",
10537,-24.8168,145.8378,"-25.0, 146.0",Blackall Tambo Regional
10635,-27.4364,145.7748,"-27.0, 146.0",Paroo Shire
10691,-32.0772,118.8925,"-32.0, 119.0",Shire Of Narembeen
10693,-33.0522,117.6782,"-33.0, 118.0",Shire Of Kulin
10717,-33.0077,136.4216,"-33.0, 136.0",The District Council of Kimba
10755,-17.0206,138.8233,"-17.0, 139.0",Doomadgee Aboriginal Shire
10796,-32.5259,150.1337,"-33.0, 150.0",Mid-Western Regional Council
11117,-17.3285,133.4444,"-17.0, 133.0",Northern Territory
11124,-15.6509,135.547,"-16.0, 136.0",Northern Territory
11146,-33.2168,151.079,"-33.0, 151.0",Cessnock
11288,-20.8808,135.1514,"-21.0, 135.0",Northern Territory
11290,-25.5086,144.4823,"-26.0, 144.0",Quilpie Shire
11340,-35.5186,149.8869,"-36.0, 150.0",Eurobodalla Shire Council
11510,-31.7944,151.3298,"-32.0, 151.0",Upper Hunter Shire Council
11527,-17.6981,133.6214,"-18.0, 134.0",Northern Territory
11529,-33.5495,118.5746,"-34.0, 119.0",Shire Of Jerramungup
11545,-28.4701,153.53,"-28.0, 154.0",
11609,-36.3584,148.7614,"-36.0, 149.0",Snowy Monaro Regional Council
11620,-37.686,147.6245,"-38.0, 148.0",
11691,-35.3141,145.067,"-35.0, 145.0",Edward River Council
11880,-30.4997,116.5208,"-30.0, 117.0",Shire Of Dalwallinu
11910,-28.8415,115.2812,"-29.0, 115.0",Geraldton
11954,-33.228,121.7823,"-33.0, 122.0",Shire Of Esperance
11972,-33.6242,117.9771,"-34.0, 118.0",Shire Of Gnowangerup
11989,-34.885999999999996,143.4443,"-35.0, 143.0",Rural City of Swan Hill
11997,-35.5424,143.2577,"-36.0, 143.0",Shire of Buloke
12001,-34.7656,140.5251,"-35.0, 141.0",Rural City of Mildura
12006,-37.9122,143.4732,"-38.0, 143.0",Shire of Moyne
12024,-28.2085,114.6145,"-28.0, 115.0",Shire Of Chapman Valley
12149,-37.4898,144.1459,"-37.0, 144.0",Shire of Mount Alexander
12178,-33.8445,136.3544,"-34.0, 136.0",The District Council of Tumby Bay
12195,-33.3839,121.1331,"-33.0, 121.0",Shire Of Esperance
12215,-20.2464,130.5006,"-20.0, 131.0",Northern Territory
12217,-20.7176,128.9535,"-21.0, 129.0",Shire Of Halls Creek
12332,-17.7063,127.3403,"-18.0, 127.0",Shire Of Halls Creek
12373,-14.0936,131.3885,"-14.0, 131.0",Northern Territory
12452,-32.8158,142.7009,"-33.0, 143.0",Wentworth Shire Council
12696,-35.2693,141.9064,"-35.0, 142.0",Rural City of Mildura
12844,-29.3224,115.7116,"-29.0, 116.0",Shire Of Morawa
12852,-23.2977,129.2313,"-23.0, 129.0",Shire Of East Pilbara
12855,-20.4911,125.6522,"-20.0, 126.0",Shire Of East Pilbara
12916,-37.6469,149.5583,"-38.0, 150.0",
13058,-28.4977,115.76,"-28.0, 116.0",Shire Of Murchison
13186,-34.0995,135.4385,"-34.0, 135.0",
13489,-16.6545,137.6865,"-17.0, 138.0",Northern Territory
13559,-41.3279,146.2119,"-41.0, 146.0",
13575,-35.5627,139.6779,"-36.0, 140.0",
13693,-35.0008,137.5397,"-35.0, 138.0",
13703,-32.4782,123.5276,"-32.0, 124.0",Shire Of Dundas
13716,-15.0119,127.5311,"-15.0, 128.0",Shire Of Wyndham-East Kimberley
13746,-28.115,140.1994,"-28.0, 140.0",Gidgealpa
13902,-23.1921,129.5436,"-23.0, 130.0",Northern Territory
13964,-15.4855,135.5456,"-15.0, 136.0",
13981,-16.1414,131.9751,"-16.0, 132.0",Northern Territory
13989,-32.5273,123.5085,"-33.0, 124.0",Shire Of Esperance
13990,-32.5326,123.4837,"-33.0, 123.0",Shire Of Esperance
13996,-32.4877,123.4964,"-32.0, 123.0",Shire Of Dundas
14128,-22.2731,150.5245,"-22.0, 151.0",
14149,-31.8623,132.1165,"-32.0, 132.0",
14297,-43.0897,146.8878,"-43.0, 147.0",Huon Valley
14428,-19.3292,122.6495,"-19.0, 123.0",Shire Of Broome
14459,-16.8711,123.8562,"-17.0, 124.0",Meda
14597,-21.7366,121.8365,"-22.0, 122.0",Shire Of East Pilbara
14608,-33.5873,121.041,"-34.0, 121.0",
15007,-33.5596,136.8464,"-34.0, 137.0",
15045,-31.9134,133.4888,"-32.0, 133.0",Penong
15207,-12.2815,131.4087,"-12.0, 131.0",Northern Territory
15216,-25.9763,125.3912,"-26.0, 125.0",Shire Of Ngaanyatjarraku
15697,-33.568000000000005,120.109,"-34.0, 120.0",Shire Of Ravensthorpe
15761,-25.3367,132.7965,"-25.0, 133.0",Northern Territory
15824,-24.2816,128.7255,"-24.0, 129.0",Shire Of Ngaanyatjarraku
15825,-22.3354,129.1839,"-22.0, 129.0",Shire Of East Pilbara
15843,-41.5485,147.9923,"-42.0, 148.0",Glamorgan-Spring Bay
15877,-18.9684,132.4966,"-19.0, 132.0",Northern Territory
15995,-31.0929,119.3957,"-31.0, 119.0",Shire Of Yilgarn
16015,-37.6615,148.6608,"-38.0, 149.0",
16129,-33.2618,142.2368,"-33.0, 142.0",Wentworth Shire Council
16269,-15.4622,129.8968,"-15.0, 130.0",Northern Territory
16277,-12.0954,134.8931,"-12.0, 135.0",Northern Territory
16395,-16.3762,137.6333,"-16.0, 138.0",
16503,-38.5504,142.7979,"-39.0, 143.0",
16504,-41.8224,145.1579,"-42.0, 145.0",
16512,-42.9795,145.7694,"-43.0, 146.0",Derwent Valley
16513,-42.1465,146.1724,"-42.0, 146.0",Central Highlands
16665,-21.598000000000003,124.2158,"-22.0, 124.0",Shire Of East Pilbara
16827,-16.5208,124.8584,"-17.0, 125.0",Shire Of Derby-West Kimberley
16833,-15.6319,130.4243,"-16.0, 130.0",Northern Territory
16985,-15.6088,131.014,"-16.0, 131.0",Northern Territory
17181,-19.4485,124.0671,"-19.0, 124.0",Shire Of Derby-West Kimberley
17224,-16.3535,141.7106,"-16.0, 142.0",Carpentaria Shire
17375,-19.6041,122.5661,"-20.0, 123.0",Shire Of East Pilbara
17557,-30.359,117.5735,"-30.0, 118.0",Shire Of Mount Marshall
17648,-20.5677,145.5316,"-21.0, 146.0",Charters Towers Regional
17702,-18.0483,125.3599,"-18.0, 125.0",Shire Of Derby-West Kimberley
17746,-15.0662,131.387,"-15.0, 131.0",Northern Territory
17751,-16.4732,127.9728,"-16.0, 128.0",Shire Of Wyndham-East Kimberley
18722,-20.6497,141.7454,"-21.0, 142.0",Mckinlay Shire
19882,-21.0178,132.3815,"-21.0, 132.0",Northern Territory
20063,-17.3349,126.4256,"-17.0, 126.0",
20096,-17.494,126.8841,"-17.0, 127.0",Shire Of Wyndham-East Kimberley
20099,-17.1756,132.3946,"-17.0, 132.0",Northern Territory
20247,-33.6187,122.7695,"-34.0, 123.0",Shire Of Esperance
20443,-34.0691,145.4821,"-34.0, 145.0",
20890,-34.4199,141.4793,"-34.0, 141.0",
20942,-33.3871,138.506,"-33.0, 139.0",Ucolta
22004,-17.6609,142.6071,"-18.0, 143.0",Etheridge Shire
22832,-19.8063,129.4945,"-20.0, 129.0",Shire Of Halls Creek
23633,-19.539,133.3331,"-20.0, 133.0",Northern Territory
24757,-15.578,135.4121,"-16.0, 135.0",Northern Territory
25080,-16.7454,141.6471,"-17.0, 142.0",Carpentaria Shire
25203,-25.3889,131.1451,"-25.0, 131.0",Northern Territory
25866,-15.3224,127.4858,"-15.0, 127.0",Shire Of Wyndham-East Kimberley
26002,-24.9689,126.6988,"-25.0, 127.0",
26177,-25.5829,145.4759,"-26.0, 145.0",Quilpie Shire
26261,-14.2087,127.4538,"-14.0, 127.0",Shire Of Wyndham-East Kimberley
26564,-14.4761,127.5982,"-14.0, 128.0",
26575,-15.8154,125.5078,"-16.0, 126.0",Shire Of Derby-West Kimberley
26831,-14.1071,130.25,"-14.0, 130.0",Northern Territory
26986,-13.498,131.7719,"-13.0, 132.0",Northern Territory
27453,-34.3668,143.5619,"-34.0, 144.0",
27737,-22.98,131.8372,"-23.0, 132.0",Northern Territory
28199,-22.3188,130.2015,"-22.0, 130.0",Northern Territory
28557,-13.6359,134.4736,"-14.0, 134.0",Northern Territory
29654,-38.5133,143.9703,"-39.0, 144.0",
29955,-14.3208,133.4846,"-14.0, 133.0",Northern Territory
30515,-32.4338,134.7114,"-32.0, 135.0",
30909,-26.8682,127.72200000000001,"-27.0, 128.0",Shire Of Laverton
31373,-16.8043,143.1585,"-17.0, 143.0",Etheridge Shire
31475,-13.019,132.5477,"-13.0, 133.0",Northern Territory
32378,-15.868,124.4984,"-16.0, 124.0",Shire Of Derby-West Kimberley
32765,-42.7912,147.7987,"-43.0, 148.0",
34195,-31.9913,141.3866,"-32.0, 141.0",
34774,-39.9605,143.9781,"-40.0, 144.0",King Island Council
35324,-12.2761,131.8936,"-12.0, 132.0",Northern Territory
35774,-13.9083,135.0881,"-14.0, 135.0",Northern Territory
36637,-15.5954,133.251,"-16.0, 133.0",Northern Territory
36712,-29.7869,146.0806,"-30.0, 146.0",
37266,-35.7369,137.9211,"-36.0, 138.0",
40200,-13.0546,130.4845,"-13.0, 130.0",
40832,-24.5227,128.5704,"-25.0, 129.0",Shire Of Ngaanyatjarraku
40848,-29.4875,128.466,"-29.0, 128.0",Shire Of Laverton
40849,-29.0658,131.8055,"-29.0, 132.0",
41029,-12.4332,132.9821,"-12.0, 133.0",Northern Territory
41081,-30.7716,115.3103,"-31.0, 115.0",
41433,-15.4749,142.0888,"-15.0, 142.0",Pormpuraaw Aboriginal Shire
43858,-38.5242,146.4956,"-39.0, 146.0",
43907,-32.999,145.407,"-33.0, 145.0",
43957,-27.0987,144.8747,"-27.0, 145.0",Quilpie Shire
44143,-23.5595,129.6057,"-24.0, 130.0",Northern Territory
45783,-11.8493,135.8697,"-12.0, 136.0",Northern Territory
45797,-12.51,141.9146,"-13.0, 142.0",Aurukun Shire
45981,-12.9655,133.5752,"-13.0, 134.0",Northern Territory
46257,-11.4911,130.4451,"-11.0, 130.0",
47181,-16.7054,130.0327,"-17.0, 130.0",Northern Territory
47473,-16.4336,123.01799999999999,"-16.0, 123.0",
48570,-22.6304,123.7632,"-23.0, 124.0",Shire Of East Pilbara
51791,-14.035,135.8552,"-14.0, 136.0",Northern Territory
51824,-14.6869,134.4594,"-15.0, 134.0",Northern Territory
52492,-35.7551,137.3931,"-36.0, 137.0",Stun'sail Boom
54120,-19.2988,146.61,"-19.0, 147.0",
54435,-35.6925,139.358,"-36.0, 139.0",
54467,-11.5044,130.4812,"-12.0, 130.0",
54712,-26.1511,125.8994,"-26.0, 126.0",Shire Of Ngaanyatjarraku
55684,-11.4759,130.5001,"-11.0, 131.0",
56357,-24.3547,128.4187,"-24.0, 128.0",Shire Of Ngaanyatjarraku
57212,-23.5102,132.476,"-24.0, 132.0",Northern Territory
58159,-23.9213,122.6961,"-24.0, 123.0",Shire Of Wiluna
58527,-12.4224,134.3649,"-12.0, 134.0",Northern Territory
59694,-22.6745,130.5372,"-23.0, 131.0",Northern Territory
61526,-13.7231,136.6158,"-14.0, 137.0",Northern Territory
61660,-12.9722,136.5286,"-13.0, 137.0",
62390,-23.6093,142.5045,"-24.0, 143.0",Barcoo Shire
65142,-17.7303,132.4331,"-18.0, 132.0",Northern Territory
66254,-14.3574,144.5565,"-14.0, 145.0",
67399,-16.4562,141.4749,"-16.0, 141.0",
67620,-12.5435,134.5013,"-13.0, 135.0",Northern Territory
68692,-14.4196,129.422,"-14.0, 129.0",
70135,-13.5405,142.2734,"-14.0, 142.0",Cook Shire
72296,-11.2248,132.2302,"-11.0, 132.0",
74481,-29.6439,121.6834,"-30.0, 122.0",Shire Of Menzies
77647,-11.1748,132.5166,"-11.0, 133.0",Northern Territory
79900,-24.3647,151.8632,"-24.0, 152.0",
89419,-29.4678,121.8125,"-29.0, 122.0",Shire Of Laverton
90620,-23.6873,130.8043,"-24.0, 131.0",Northern Territory
94138,-10.9434,142.1794,"-11.0, 142.0",Torres Shire
94184,-22.85,122.4818,"-23.0, 122.0",Shire Of East Pilbara
95644,-26.8617,129.8511,"-27.0, 130.0",Anangu Pitjantjatjara Yankunytjatjara
97541,-24.5139,144.1709,"-25.0, 144.0",Barcoo Shire
104925,-13.8098,141.4916,"-14.0, 141.0",
105759,-24.5763,130.0446,"-25.0, 130.0",Northern Territory
109409,-21.9832,127.6988,"-22.0, 128.0",Shire Of East Pilbara
110170,-24.895,143.2278,"-25.0, 143.0",Barcoo Shire
111061,-22.7777,127.4915,"-23.0, 127.0",Shire Of East Pilbara
115234,-22.7703,126.0386,"-23.0, 126.0",Shire Of East Pilbara
115244,-33.1248,143.5016,"-33.0, 144.0",
115527,-10.175,142.3323,"-10.0, 142.0",
116306,-34.6458,150.6482,"-35.0, 151.0",
119370,-23.7591,133.9622,"-24.0, 134.0",Northern Territory
121509,-28.9157,145.5707,"-29.0, 146.0",
126085,-26.4671,120.3262,"-26.0, 120.0",Shire Of Meekatharra
129153,-23.3314,133.0319,"-23.0, 133.0",Northern Territory
129304,-16.4621,139.4718,"-16.0, 139.0",
131421,-10.6993,142.5317,"-11.0, 143.0",Mackay Regional
134186,-17.752,141.0869,"-18.0, 141.0",Carpentaria Shire
134955,-16.4383,139.5247,"-16.0, 140.0",
142634,-25.8181,130.8277,"-26.0, 131.0",Anangu Pitjantjatjara Yankunytjatjara
143550,-25.1463,141.4235,"-25.0, 141.0",Barcoo Shire
143656,-31.8651,121.6269,"-32.0, 122.0",Shire Of Dundas
147144,-26.4845,141.7362,"-26.0, 142.0",Barcoo Shire
147145,-26.5302,141.7642,"-27.0, 142.0",Bulloo Shire
148792,-27.1709,132.2928,"-27.0, 132.0",Anangu Pitjantjatjara Yankunytjatjara
154770,-24.941,138.6544,"-25.0, 139.0",Diamantina Shire
156612,-40.0667,148.1973,"-40.0, 148.0",Flinders Council
167144,-22.1929,134.0001,"-22.0, 134.0",Northern Territory
171687,-26.5054,129.2969,"-27.0, 129.0",Shire Of Laverton
171728,-21.6684,134.7241,"-22.0, 135.0",Northern Territory
174971,-21.5486,126.5794,"-22.0, 127.0",Shire Of East Pilbara
175124,-33.881,123.5201,"-34.0, 124.0",
176111,-23.9637,126.7483,"-24.0, 127.0",Shire Of Ngaanyatjarraku
176114,-23.878,124.355,"-24.0, 124.0",Shire Of Wiluna
176142,-28.933000000000003,126.9595,"-29.0, 127.0",Shire Of Laverton
176595,-26.2663,124.0045,"-26.0, 124.0",Shire Of Wiluna
177052,-23.9934,126.4801,"-24.0, 126.0",Shire Of Ngaanyatjarraku
177477,-28.0301,129.7388,"-28.0, 130.0",Anangu Pitjantjatjara Yankunytjatjara
177509,-19.5002,135.5209,"-20.0, 136.0",Northern Territory
178851,-21.6305,126.3053,"-22.0, 126.0",Shire Of East Pilbara
178881,-21.4703,126.5075,"-21.0, 127.0",Shire Of Halls Creek
181189,-20.669,143.2881,"-21.0, 143.0",Richmond Shire
181238,-18.9801,141.4315,"-19.0, 141.0",Carpentaria Shire
181248,-18.5226,142.7413,"-19.0, 143.0",Croydon Shire
181831,-28.9244,125.6935,"-29.0, 126.0",Shire Of Laverton
182719,-28.1274,128.4878,"-28.0, 128.0",Shire Of Laverton
182724,-29.1958,129.2887,"-29.0, 129.0",Shire Of Laverton
185011,-29.1631,116.9537,"-29.0, 117.0",Shire Of Yalgoo
185012,-21.2575,126.4997,"-21.0, 126.0",Shire Of East Pilbara
185067,-29.0544,129.8576,"-29.0, 130.0",
185068,-26.1484,130.2721,"-26.0, 130.0",Anangu Pitjantjatjara Yankunytjatjara
187460,-18.9687,136.8709,"-19.0, 137.0",Northern Territory
188163,-25.9152,118.0042,"-26.0, 118.0",Shire Of Meekatharra
189080,-27.7504,127.2281,"-28.0, 127.0",Shire Of Laverton
189603,-28.4323,128.8016,"-28.0, 129.0",Shire Of Laverton
190518,-18.7741,136.4973,"-19.0, 136.0",Northern Territory
190633,-26.3018,131.8634,"-26.0, 132.0",Anangu Pitjantjatjara Yankunytjatjara
191155,-19.7491,142.7921,"-20.0, 143.0",Richmond Shire
194007,-25.6044,140.1971,"-26.0, 140.0",Pandie Pandie
195476,-27.8857,125.0049,"-28.0, 125.0",Shire Of Laverton
195617,-26.9956,126.5705,"-27.0, 127.0",Shire Of Laverton
196059,-21.5195,144.3911,"-22.0, 144.0",Winton Shire
197402,-31.2375,123.5184,"-31.0, 124.0",City Of Kalgoorlie-Boulder
200554,-34.5361,135.1582,"-35.0, 135.0",
203855,-20.4257,148.5205,"-20.0, 149.0",Whitsunday Regional
204633,-33.0696,141.3732,"-33.0, 141.0",
206108,-27.8834,143.5687,"-28.0, 144.0",
206799,-17.8005,140.0702,"-18.0, 140.0",Carpentaria Shire
210154,-17.3595,143.8206,"-17.0, 144.0",Mareeba Shire
212100,-29.9055,120.9498,"-30.0, 121.0",Shire Of Menzies
215093,-27.8874,143.4971,"-28.0, 143.0",Bulloo Shire
216247,-27.9441,119.573,"-28.0, 120.0",Shire Of Sandstone
222896,-9.4017,142.6501,"-9.0, 143.0",
223320,-23.6859,114.3654,"-24.0, 114.0",Shire Of Carnarvon
223325,-25.1094,114.9436,"-25.0, 115.0",Shire Of Upper Gascoyne
223841,-30.7265,142.035,"-31.0, 142.0",
223964,-27.4923,115.4119,"-27.0, 115.0",Shire Of Shark Bay
223987,-26.0334,114.728,"-26.0, 115.0",Shire Of Shark Bay
224710,-32.2862,140.3264,"-32.0, 140.0",
229442,-20.7759,115.4344,"-21.0, 115.0",
229801,-30.5141,139.0341,"-31.0, 139.0",Narrina
232202,-30.4949,139.0355,"-30.0, 139.0",Lyndhurst
234176,-30.0308,130.7626,"-30.0, 131.0",
234184,-29.8104,130.4103,"-30.0, 130.0",
235718,-25.5964,133.5034,"-26.0, 134.0",Tieyon
237407,-32.371,136.1329,"-32.0, 136.0",Moonaree
237471,-31.4931,133.0245,"-31.0, 133.0",Yellabinna
238784,-21.7172,143.3476,"-22.0, 143.0",Winton Shire
239013,-25.6316,114.4989,"-26.0, 114.0",Shire Of Shark Bay
239853,-29.7294,124.9655,"-30.0, 125.0",Shire Of Menzies
239919,-29.2088,120.1385,"-29.0, 120.0",Shire Of Menzies
241783,-26.3846,127.1434,"-26.0, 127.0",Shire Of Ngaanyatjarraku
242061,-28.5601,119.4563,"-29.0, 119.0",Shire Of Sandstone
243041,-25.5164,142.9494,"-26.0, 143.0",Quilpie Shire
243103,-42.5204,145.3048,"-43.0, 145.0",
243374,-28.6827,142.4199,"-29.0, 142.0",
243801,-25.0306,114.42399999999999,"-25.0, 114.0",Shire Of Carnarvon
244753,-22.3411,140.5836,"-22.0, 141.0",Cloncurry Shire
245879,-25.0427,118.3696,"-25.0, 118.0",Shire Of Meekatharra
246096,-23.3737,144.3512,"-23.0, 144.0",Longreach Regional
246492,-26.3034,139.0655,"-26.0, 139.0",Alton Downs Station
246918,-21.1708,136.4082,"-21.0, 136.0",Northern Territory
248037,-21.9162,136.0606,"-22.0, 136.0",Northern Territory
249175,-24.1029,135.1419,"-24.0, 135.0",Northern Territory
250110,-23.7252,140.1876,"-24.0, 140.0",Diamantina Shire
250256,-24.7975,136.3999,"-25.0, 136.0",Simpson Desert
250699,-22.2315,137.0382,"-22.0, 137.0",Northern Territory
251081,-22.5734,139.1599,"-23.0, 139.0",Boulia Shire
259514,-31.0625,145.4426,"-31.0, 145.0",
262945,-14.495,125.1841,"-14.0, 125.0",
277369,-32.2594,138.0206,"-32.0, 138.0",Yadlamalka
280461,-25.8302,127.9674,"-26.0, 128.0",Shire Of Ngaanyatjarraku
281582,-32.4064,142.4114,"-32.0, 142.0",Broken Hill
283784,-27.7011,144.8869,"-28.0, 145.0",Paroo Shire
289074,-27.1348,116.2065,"-27.0, 116.0",Shire Of Murchison
310559,-22.2415,113.8497,"-22.0, 114.0",Shire Of Exmouth
325757,-11.4428,136.5296,"-11.0, 137.0",
330947,-22.9719,134.4563,"-23.0, 134.0",Northern Territory
332084,-25.87,115.7508,"-26.0, 116.0",Shire Of Murchison
334380,-26.9235,119.43799999999999,"-27.0, 119.0",Shire Of Meekatharra
377947,-26.5712,135.8779,"-27.0, 136.0",Macumba
378885,-32.3652,125.6346,"-32.0, 126.0",Shire Of Dundas
379502,-30.5335,123.4832,"-31.0, 123.0",City Of Kalgoorlie-Boulder
384178,-30.4374,120.2453,"-30.0, 120.0",Shire Of Menzies
384898,-27.5427,125.5493,"-28.0, 126.0",Shire Of Laverton
385691,-25.2592,124.1553,"-25.0, 124.0",Shire Of Wiluna
385694,-26.7657,125.7081,"-27.0, 126.0",Shire Of Laverton
394766,-31.5272,129.1996,"-32.0, 129.0",
395279,-32.582,139.8661,"-33.0, 140.0",
396669,-21.0555,137.5761,"-21.0, 138.0",Mount Isa City
396765,-13.4386,143.5887,"-13.0, 144.0",
397209,-29.4004,118.3883,"-29.0, 118.0",Shire Of Yalgoo
398825,-21.7442,142.067,"-22.0, 142.0",Winton Shire
399414,-23.4567,141.1741,"-23.0, 141.0",Winton Shire
399668,-25.3502,134.7409,"-25.0, 135.0",Northern Territory
399685,-30.2902,139.5293,"-30.0, 140.0",
399773,-28.5871,133.8416,"-29.0, 134.0",Mabel Creek
399775,-27.5904,132.4027,"-28.0, 132.0",Anangu Pitjantjatjara Yankunytjatjara
400227,-30.1862,145.3684,"-30.0, 145.0",
400510,-27.0162,116.5483,"-27.0, 117.0",Shire Of Murchison
400659,-23.3225,137.001,"-23.0, 137.0",Northern Territory
401259,-24.5541,116.0797,"-25.0, 116.0",Shire Of Upper Gascoyne
401326,-27.5526,141.5259,"-28.0, 142.0",Cameron Corner
409678,-29.7035,135.5716,"-30.0, 136.0",Millers Creek
439980,-32.4598,142.99,"-32.0, 143.0",
465307,-15.4817,124.4996,"-15.0, 124.0",
480051,-24.0596,138.0117,"-24.0, 138.0",Diamantina Shire
480706,-24.5029,138.1044,"-25.0, 138.0",Diamantina Shire
495227,-29.503,126.9271,"-30.0, 127.0",
497780,-29.9072,143.1915,"-30.0, 143.0",
499593,-19.9865,136.6401,"-20.0, 137.0",Northern Territory
506310,-25.3516,131.9031,"-25.0, 132.0",Northern Territory
510230,-20.5781,136.7017,"-21.0, 137.0",Northern Territory
512914,-32.4971,136.6647,"-32.0, 137.0",Yudnapinna
532806,-29.8867,133.5931,"-30.0, 134.0",Commonwealth Hill
534048,-26.5725,132.8014,"-27.0, 133.0",Anangu Pitjantjatjara Yankunytjatjara
545668,-24.0607,135.5644,"-24.0, 136.0",Northern Territory
561209,-30.2991,144.0264,"-30.0, 144.0",
577308,-32.0841,126.7532,"-32.0, 127.0",Shire Of Dundas
587548,-22.9644,135.2637,"-23.0, 135.0",Northern Territory
589710,-30.5016,126.994,"-31.0, 127.0",City Of Kalgoorlie-Boulder
592716,-23.4285,135.5789,"-23.0, 136.0",Northern Territory
602997,-27.2276,144.2738,"-27.0, 144.0",Quilpie Shire
626703,-28.2554,131.0623,"-28.0, 131.0",Anangu Pitjantjatjara Yankunytjatjara
628493,-25.5904,132.5843,"-26.0, 133.0",Anangu Pitjantjatjara Yankunytjatjara
629635,-26.4192,135.4838,"-26.0, 135.0",Crown Point
630581,-28.5985,142.6027,"-29.0, 143.0",
634381,-32.6423,125.1732,"-33.0, 125.0",
635000,-25.4014,133.5028,"-25.0, 134.0",Northern Territory
649310,-25.4759,140.2284,"-25.0, 140.0",Diamantina Shire
659932,-30.2649,126.1103,"-30.0, 126.0",Shire Of Menzies
661346,-29.4988,131.4937,"-29.0, 131.0",
661351,-30.1732,132.5465,"-30.0, 133.0",
662369,-30.1618,132.4649,"-30.0, 132.0",
